movie,valence,energy,darkness,tension,warmth,humor
"""Lock, Stock and Two Smoking Barrels""",-0.4210124874487519,0.20996810346841813,0.1189608633518219,0.09550677239894867,-0.17209409177303314,0.11729921102523805
"""Brother Bear""",0.2178603395819664,0.19827046394348144,0.022625058889389038,0.07282726466655731,0.07471691966056823,-0.03825823962688446
"""Beauty and the Beast""",0.640855921851471,0.032124221324920654,-0.23600683808326722,0.13331689238548278,0.42439766228199005,-0.02094205468893051
"""Captain America: The Winter Soldier""",-0.536593274679035,0.341505466401577,0.06924787163734436,0.2317132532596588,-0.19910362362861633,-0.1848772019147873
"""13 Going on 30""",0.09960594139993192,-0.0026625096797943115,-0.22623578310012818,0.0897524043917656,0.5165670394897461,0.21387940347194673
"""The Aristocats""",0.06326919915154577,0.16597879081964492,0.008273676037788391,0.06211654841899872,0.10867949724197387,0.1474662095308304
"""The Hunger Games: Catching Fire""",-0.18676834143698215,0.59302499294281,0.10472504794597626,0.16921922862529754,-0.020016446709632874,0.045842279195785526
"""Iron Man 2""",-0.17843728512525558,0.43758067339658735,0.01970497891306877,0.07816391363739968,-0.109435074031353,0.05367124825716019
"""The Chronicles of Narnia: The Voyage of the Dawn Treader""",-0.17180403396487234,0.1598629929125309,0.024014562368392944,0.13272540867328644,0.08925761282444,-0.08087684214115143
"""The Little Mermaid""",-0.04720812067389488,0.015453863888978958,-0.1632391944527626,0.06924502551555634,0.3444399133324623,0.010235950350761414
"""Mulholland Drive""",0.05720469355583191,0.10429320037364961,0.054903304576873785,0.7891698002815246,-0.18815040588378906,-0.04576799273490906
"""How to Train Your Dragon""",0.2113207744434476,0.40134415626525877,-0.20095653384923937,0.24982778877019884,0.6116268634796143,0.09836088061332704
"""Shrek Forever After""",0.11718471739441158,0.2571162074804306,0.01210184395313263,0.10509645938873291,0.0012872457504272405,0.22232673764228822
"""Toy Story 3""",0.27292641953875624,-0.018083617091178894,-0.09538334608078003,0.00020797550678253174,0.14482689797878265,0.26550881266593934
"""Thor""",0.18411753326654434,0.3982581257820129,0.034607186913490295,0.05157869420945645,-0.07227751612663269,-0.10773736238479614
"""The Princess and the Frog""",0.23327124069134395,0.08562723845243454,-0.006795838475227356,0.10204834342002869,0.31320469081401825,0.11049126505851746
"""Yes Man""",0.9791255405172705,0.16895142793655396,-0.055018119513988495,0.23545371890068056,0.09734952449798584,0.26537010610103606
"""Inside Out 2""",0.33382578790187833,0.27979035973548894,0.1245514214038849,0.3935287475585938,-0.012243804335594188,0.21475942969322206
"""The Amazing Spider-Man 2""",0.44048283433464047,0.5382079377770425,-0.11312587410211564,0.16010913848876954,0.17645713388919831,-0.015547129809856414
"""Maleficent""",-0.5059512338911494,0.3580214291810989,0.21394987106323243,0.11184219121932984,0.08035249710083006,-0.08741170167922974
"""Ant-Man""",0.49536364153027534,0.43275379985570905,-0.015751756727695465,0.10758881568908692,-0.06094306707382202,-0.007105052471160889
"""Taxi Driver""",-0.4434897749684751,0.13913666307926179,0.1584599405527115,0.22172389626502992,-0.2015396237373352,0.045683373212814335
"""Lady and the Tramp""",-0.3570752365514636,0.12021391615271568,0.0018166154623031616,0.07421769127249718,0.3433541558682919,0.2010119415819645
"""The Iron Giant""",-0.08747790548950432,-0.021125761047005656,-0.019926676154136666,0.29439802914857865,0.13040586411952973,-0.010972730815410614
"""Back to the Future""",0.6333420395851135,0.17244990319013595,-0.028283994644880295,0.05567174032330513,0.10598212182521821,0.2921015813946724
"""Madagascar: Escape 2 Africa""",0.13833784461021426,0.207486904039979,0.03970630094408989,0.023934779688715935,0.11849673241376876,0.37426620274782185
"""Sherlock Holmes""",0.1405105307077368,0.46004271954298015,0.13306648135185242,0.4703926876187325,-0.18374797701835632,-0.16194793581962585
"""Pocahontas""",-0.3546769545413554,0.1753620073199272,-0.05275849997997284,0.03476280272006989,0.3294928103685379,0.003241032361984253
"""The Hunchback of Notre Dame""",0.15054950364865363,0.08129623532295227,0.11071531772613526,0.20729306042194368,0.0001223891973495539,-0.03999632179737091
"""Shark Tale""",-0.35745035884901877,0.3230532377958298,0.1386786848306656,0.24936564564704894,-0.017321765422821045,0.1381631538271904
"""The Good Dinosaur""",0.43703014999628065,0.293995489180088,0.06617000997066498,0.1067209154367447,-0.012860259413719183,0.020300209522247314
"""Predator""",-0.4853749228641391,0.4900122553110122,0.0678898349404335,0.3656115233898163,-0.1602276712656021,-0.01803576946258545
"""Mean Girls""",-0.16813598126173018,-0.019323270022869113,-0.06573321670293808,0.18720963299274446,0.04878887012600899,0.4284694075584412
"""The Wolf of Wall Street""",0.4607055385393323,0.11677302718162538,0.09720698595046998,0.14718273133039475,-0.1366937756538391,0.28844757676124577
"""Mulan""",-0.045097724969188374,0.2817956320941448,-0.03599103391170502,0.06013774126768112,0.26743892431259153,0.06742249697446824
"""WALL·E""",0.09217340477149595,0.058180004358291626,0.04632784426212311,0.06844654679298401,0.13491527140140533,-0.04132986068725586
"""Peter Pan""",-0.025463434805472696,0.1787056490778923,0.004357598721981049,0.04197746515274048,0.057464139163494105,0.0059011876583099365
"""Snatch""",-0.3207748563028872,0.2728417903184891,0.14481228440999985,0.15308472514152527,-0.1776847094297409,0.2202079325914383
"""Quantum of Solace""",-0.2149747575500182,0.5525926977396011,0.17478608489036562,0.2033446580171585,-0.10242815315723419,-0.06423559784889221
"""Escape Plan""",0.011710366932675242,0.2953771606087685,-0.0025496602058410617,0.35524919629096985,-0.11002177000045776,-0.10911345481872559
"""The World's End""",0.37291960716247563,0.3169517517089844,0.08251257240772247,0.0645617499947548,-0.1378619223833084,0.2232585206627846
"""Atlantis: The Lost Empire""",0.061602079216390854,0.2088754005730152,-0.00509236752986908,0.10290224850177765,0.014246428012847895,0.030165284872055054
"""Sleeping Beauty""",0.10675452882423997,-0.060283221304416656,-0.13478164970874787,0.027698206901550296,0.5248234570026398,-0.01513180136680603
"""Pinocchio""",0.09898264495035013,0.006786823272705078,-0.11033591628074646,0.19670057892799375,0.23097824901342393,0.08412747085094452
"""The Thing""",-0.5018639322902475,0.03730244487524033,0.4123946040868759,0.4490027263760567,-0.2561802014708519,-0.06889703869819641
"""This Is the End""",0.3201407800118129,0.2517600879073143,0.003367111086845398,0.14992994964122774,-0.08420689404010773,0.2726219177246094
"""Captain Phillips""",-0.1680002722889185,0.310690638422966,0.04235612154006958,0.432433208823204,-0.11965332180261612,-0.08467452228069305
"""The Hangover Part III""",-0.4906908337647716,-0.005708480253815651,0.06510762870311737,0.14093592762947083,-0.1445377916097641,0.04985657036304475
"""Frozen""",-0.09208396390701337,0.1673824429512024,0.04291297495365143,0.09088878333568573,-0.03654659986495973,-0.08018394559621811
"""Star Wars""",0.01570867747068405,0.49341720044612886,-0.13440959751605988,0.170029653608799,0.22110942453145982,0.053030696213245396
"""The Notebook""",-0.18672675178386272,-0.08610465228557587,-0.018464796245098114,0.21907822191715243,0.3240232229232788,-0.042196035385131836
"""Snowpiercer""",0.08878456288948655,0.2959864556789399,-0.040005980432033544,0.24384429007768632,0.08897049427032472,-0.0737880128622055
"""Scarface""",-0.722401510970667,0.2900256037712098,0.13117259591817856,0.2839637786149979,-0.09694597870111465,-0.05884023755788803
"""Cinderella""",0.42235200852155685,0.042635902762413025,-0.06822672486305237,0.06842460036277771,0.27046560645103457,-0.032524898648262024
"""The Prestige""",-0.6018203022579351,0.21422940492630002,0.06800983846187592,0.5962475955486297,-0.13840535283088684,0.01820045381784439
"""Hellboy II: The Golden Army""",-0.3265048762162526,0.25324340239167215,0.10279694199562073,0.143808613717556,-0.17150433361530304,-0.07605043053627014
"""Seven Pounds""",-0.2662478675444921,-0.07334196045994759,0.036467425525188446,0.3241414546966553,-0.16634467244148254,-0.07662744075059891
"""Shutter Island""",-0.4166106428951025,0.020332686603069305,0.04193230271339417,0.6345261335372925,-0.1562766283750534,-0.11170734465122223
"""Dumbo""",-0.2679586596786976,0.10000340193510056,0.01954053640365601,0.09591243267059327,0.04249522984027862,0.13477671146392822
"""Pretty Woman""",0.28166691139340405,0.10702104791998863,0.013747401535511017,0.06456846296787262,0.20508545637130737,0.24194090187549594
"""Pitch Perfect""",0.08961372710764409,0.018593207001686096,-0.0006571654230356216,0.03621338047087193,0.23509305119514465,0.20259438157081605
"""The Big Lebowski""",-0.4933982822733621,0.1961584895849228,0.15191511660814286,0.10236915200948715,-0.11356619000434875,0.22150687575340272
"""Lilo & Stitch""",-0.04687026245519518,0.03130742162466049,0.10281943529844284,0.08906759321689606,0.23877881467342377,0.14736486673355104
"""Mamma Mia!""",0.3546849604696035,0.01593887060880661,-0.09482699632644653,0.12511298656463624,0.2404976189136505,0.18485539853572847
"""The Secret Life of Walter Mitty""",-0.0965460808482021,0.2528662726283074,0.06166372448205948,0.2580710515379906,-0.16167205572128296,0.19185793936252596
"""The Emperor's New Groove""",0.12452852285156651,0.3611783415079117,0.09499446302652359,0.10670766532421112,0.0695660799741745,0.36050666093826295
"""The Untouchables""",-0.46058118529617786,0.24551739245653154,0.17214157581329348,0.28502885699272157,-0.15797095000743866,-0.041891299188137054
"""White House Down""",-0.5666930321604013,0.20506019592285157,0.07544913813471794,0.45527150332927707,-0.05952826887369156,-0.034269779920578
"""Olympus Has Fallen""",-0.552034854888916,0.27816395387053494,0.019862435013055804,0.40511898696422577,-0.1589537262916565,-0.04949390888214111
"""Charlie and the Chocolate Factory""",0.7715837957492718,0.2303738534450531,-0.0514908991754055,0.02968497946858406,0.16987284421920776,0.2534002408385277
"""Guardians of the Galaxy""",0.018225550651550293,0.40076117068529127,-0.0018580388277769089,0.18511854410171508,-0.1398158073425293,-0.06260615587234497
"""The Wild Robot""",0.35375123918056484,-0.002043452858924877,-0.13551916778087617,0.12831928431987763,0.026208201050758356,0.07617951184511185
"""Dawn of the Planet of the Apes""",-0.6853285368531942,0.24152991622686387,0.216390523314476,0.45995738059282304,-0.2028263807296753,0.023906990885734558
"""Hercules""",0.9488353654742241,0.29473831653594973,-0.07686012089252472,0.10365509912371636,0.17515275925397872,0.20660504400730134
"""Finding Nemo""",-0.3010894488543272,-0.04527052119374275,-0.012728860974311834,0.017003238201141357,0.18942176401615143,0.015027344226837158
"""The Lord of the Rings: The Fellowship of the Ring""",-0.045570075418800114,0.5723521143198014,0.020995795726776123,0.19088373482227328,-0.05677255988121033,-0.05232805669307708
"""The Grand Budapest Hotel""",0.5015008396469056,-0.023537746071815496,0.055205922573804855,0.11382576301693917,-0.09212221950292587,0.21070912182331086
"""Alice in Wonderland""",-0.000745901465415949,0.2201911300420761,0.010702908039093018,0.07674795389175415,0.06443434357643127,0.0025023072957992554
"""The Lord of the Rings: The Two Towers""",-0.08167675137519836,0.49496871680021287,0.021004237234592438,0.2521204113960266,-0.09822019189596176,-0.07728166460990905
"""Alice in Wonderland""",0.049254098534584054,0.2201911300420761,0.11070290803909302,0.2767479538917541,-0.03556565642356871,0.0025023072957992554
"""The Hurt Locker""",-0.6695237822830677,0.08845004737377167,0.22636276185512544,0.382349568605423,-0.2546869575977325,-0.11000882089138031
"""Assassin's Creed""",0.35474872030317783,0.4095511421561241,0.05546475574374199,0.1663511201739311,-0.2016822099685669,-0.0766318142414093
"""The Lord of the Rings: The Return of the King""",0.14124066829681398,0.5290981575846672,-0.05847844183444978,0.17513830065727232,0.028985482454299938,-0.11916020095348358
"""One Hundred and One Dalmatians""",0.5542850223835558,0.10101355016231536,0.014240235090255737,-0.034393757581710815,0.06171550750732421,0.133603934943676
"""About Time""",0.06690039948693344,0.04408116638660431,-0.3330813676118851,0.21502318680286409,0.6380682975053787,0.006847549676895142
"""The Hobbit: The Battle of the Five Armies""",-0.2862975001335144,0.3669232115149498,0.06321245431900024,0.0946837842464447,-0.048633724451065063,-0.15859180688858032
"""Slumdog Millionaire""",-0.2756936810910702,0.03211870193481445,-0.060943588614463806,0.29433819055557253,0.02211309373378753,-0.028573185205459595
"""Harry Potter and the Deathly Hallows: Part 1""",0.19696875847876072,0.2517248332500458,0.03452840447425842,0.0748327448964119,-0.11192448437213898,-0.04273021221160889
"""Harry Potter and the Deathly Hallows: Part 2""",-0.32448739409446714,0.28193687796592715,0.006035171449184418,0.1260644793510437,-0.06389888375997543,-0.07978171855211258
"""Grave of the Fireflies""",-0.687464228272438,0.039176677167415616,0.21376171857118606,0.13736121952533722,-0.12695663273334504,0.05633123964071274
"""Godzilla""",-0.5424655963666737,0.289777883887291,0.016664174199104306,0.4173114597797394,0.06614032089710237,-0.13421344757080078
"""Ghost Rider""",-0.4993802664335817,0.3944886535406113,0.15907242000102997,0.5160701632499695,-0.05347528457641601,-0.039111942052841187
"""Bridge to Terabithia""",-0.1189942310253779,0.13376229554414748,0.10245335102081299,0.13840769827365876,-0.0636765718460083,0.06557837128639221
"""Alien: Covenant""",-0.4669718633716305,0.09864878319203854,0.2988834708929062,0.26441460847854614,-0.22638041377067566,-0.048751771450042725
"""300""",-0.27623963691294195,0.5034197807312012,0.12857807725667952,0.2311775252223015,0.07128307819366456,-0.09391745924949646
"""Finding Dory""",0.3546067861529688,0.16943518221378326,-0.024576637893915176,0.04614172875881195,0.12220852971076965,0.1662308990955353
"""X-Men: Days of Future Past""",-0.07964120991528034,0.3818605937063694,0.05757448822259903,0.09839440435171128,-0.12398207187652588,-0.02929670736193657
"""Princess Mononoke""",-0.1964800927788019,0.23196504414081573,0.061189353466033936,-0.009157851338386536,-0.07360176742076874,-0.10886690765619278
"""Spirited Away""",-0.2682905724272132,0.021219223737716675,0.057181790471076965,0.051532894372940063,0.0790134459733963,0.04436793923377991
"""Forrest Gump""",0.394605663924345,0.06264862716197969,-0.11477217078208923,0.20013497471809388,0.03542422652244567,0.26482770383358
"""Bolt""",0.27981712073087694,0.2984086096286773,0.04680219292640686,0.11340534687042236,0.08385475873947143,0.23539188623428348
"""The Hunger Games: Mockingjay - Part 1""",-0.4764618448913097,0.3713304325938225,0.11524820625782013,0.28199922740459443,-0.06851794570684433,0.08612608909606934
"""The Hunger Games: Mockingjay - Part 2""",-0.07390859406441447,0.42052477449178693,-0.2606154263019562,0.05795283913612366,0.3551341086626053,0.009744584560394287
"""Watchmen""",-0.23144770939560497,0.2320834219455719,0.042677141726017,0.27440646290779114,-0.1615191251039505,-0.021966606378555298
"""Gran Torino""",-0.6391034172847867,-0.06579686924815178,-0.053262716531753546,0.13770700097084046,0.06587505042552949,0.06213441491127014
"""Angels & Demons""",-0.4896177633975943,0.21133874207735062,0.0670227587223053,0.5199954748153687,-0.14864416420459747,-0.15904758870601654
"""Star Trek""",-0.25111146581669647,0.35956998765468595,-0.030021073296666145,0.1381410390138626,-0.1417730301618576,-0.03651033341884613
"""Jurassic World""",0.22875551134347916,0.7000917181372642,0.1791949808597565,0.44492112174630166,-0.025734181702136996,0.17963467955589293
"""American Psycho""",-0.24340868629515172,0.2423882156610489,0.42960889935493474,0.44575033485889437,-0.36643618941307066,0.05339815318584443
"""Rocky""",0.11614392325282098,-0.02976007610559464,-0.1482054112479091,0.2740330435335636,0.1885715052485466,-0.08471386134624481
"""First Blood""",-0.7065770962741226,0.526232160627842,0.2612192079424858,0.29631465673446655,-0.2198156476020813,-0.0019849687814712524
"""Groundhog Day""",-0.48666794026891386,-0.07007876634597779,0.05281243473291397,0.32037178575992586,0.052709296345710754,0.1460706412792206
"""The Lego Movie""",1.0238760408014058,0.45280489623546605,-0.08270465880632401,0.214187054336071,0.3665371686220169,0.3908933472633362
"""Edge of Tomorrow""",-0.38679435833667714,0.2854555368423462,-0.07199533134698868,0.20410197377204897,0.22171435803174974,-0.06167049705982208
"""Blood Diamond""",-0.27932789338131747,0.3223892569541931,0.23551257252693175,0.40738758295774463,-0.11225339770317078,-0.050656698644161224
"""Fast & Furious""",0.15296027716249228,0.3652483701705933,0.1437289245426655,0.4007575534284115,-0.08051089942455292,-0.017034325748682022
"""The Expendables 3""",-0.03052828274667263,0.5125246539711952,0.07786082029342652,0.31933969259262085,-0.10635501146316528,-0.06417670845985413
"""Knowing""",-0.4714405139287313,0.36001809239387517,0.10165462493896485,0.6381274133920669,-0.21971671879291535,-0.14944297075271606
"""We're the Millers""",-0.20621310472488402,0.1380961522459984,0.07928460687398911,0.009294528514146805,-0.06810369342565536,0.2271811094135046
"""The Conjuring""",-0.6120677049892643,0.16068431958556176,0.32606229484081267,0.5208101034164428,-0.2277104765176773,-0.13553957641124725
"""Sweeney Todd: The Demon Barber of Fleet Street""",-0.3552774790674448,-0.025088919699192053,0.3209897682070732,0.332773756980896,-0.25085740685462954,-0.05231814086437225
"""American Beauty""",-0.175760359574969,0.009194255620241162,0.008559167385101318,0.1638139322400093,0.0328729659318924,0.10892164558172227
